archivo,linea,batch_request_id,custom_id,request_id,modelo,status_code,prompt_tokens,completion_tokens,total_tokens,cached_tokens,cache_write_tokens,reasoning_tokens,tiene_usage
batch_6aa4f69217788190be765499a6c22f02_output.jsonl,1,batch_req_6aa4f69c310c8190adb113dfc39045ef,TWDY64XfFHTe5DAOdrLjpd9wOUB3_u9K3ZtgJhiQ6HJULcDH5kQu08cb2,507331eb-6069-47df-9aba-c565d0c1d625,gpt-5.6-terra,200,12324,331,12655,12196,125,270,True
batch_6aa4f70ac4dc8190b7f03f478d7c8b42_output.jsonl,1,batch_req_6aa4f7136cf081909bbc81fb0386c93f,TWDY64XfFHTe5DAOdrLjpd9wOUB3_u9K3ZtgJhiQ6HJULcDH5kQu08cb2,8fcba1df-6818-4a50-8c93-1267c04a89c4,gpt-5.6-terra,200,12379,111,12490,12030,346,75,True
batch_6aa4f78256488190b23e64f22f6f60e3_output.jsonl,1,batch_req_6aa4f789dcd08190a63b1efb084917e4,TWDY64XfFHTe5DAOdrLjpd9wOUB3_u9K3ZtgJhiQ6HJULcDH5kQu08cb2,b37ebacd-5aa8-4685-b02c-718815184b4d,gpt-5.6-terra,200,12415,38,12453,12081,331,0,True
batch_6aa4f7facdf48190b4a06ec305ed7185_output.jsonl,1,batch_req_6aa4f83eb4348190944109364b418bf7,TWDY64XfFHTe5DAOdrLjpd9wOUB3_u9K3ZtgJhiQ6HJULcDH5kQu08cb2,f95ec560-bcef-4656-b884-4062d178c5cc,gpt-5.6-terra,200,12451,28,12479,12259,189,0,True
batch_6aa4f87350348190ba5201ac92410b46_output.jsonl,1,batch_req_6aa4f87d81c481908e3c717e3e98011a,TWDY64XfFHTe5DAOdrLjpd9wOUB3_u9K3ZtgJhiQ6HJULcDH5kQu08cb2,305538ac-bf6d-4c93-ae30-fc10381c7485,gpt-5.6-terra,200,12485,26,12511,12321,161,0,True
batch_6aa4f8eb50488190a575c3840703e80a_output.jsonl,1,batch_req_6aa4f9312d7481908c97fd6cb28147c9,TWDY64XfFHTe5DAOdrLjpd9wOUB3_u9K3ZtgJhiQ6HJULcDH5kQu08cb2,4b7a6db9-6a61-49ea-b98e-267d581b6741,gpt-5.6-terra,200,12509,44,12553,12376,130,0,True
batch_6aa4f9631bc4819085b150f34ee1e631_output.jsonl,1,batch_req_6aa4f96b7d008190b7ce631c3fbdd157,TWDY64XfFHTe5DAOdrLjpd9wOUB3_u9K3ZtgJhiQ6HJULcDH5kQu08cb2,3387f0db-a365-46cd-8d08-ac60004efec6,gpt-5.6-terra,200,12559,36,12595,12482,74,0,True
batch_6aa4f9dab4ac8190a28af5cf8ef62423_output.jsonl,1,batch_req_6aa4fa1e0f188190bcb2dbfffb24d2c4,TWDY64XfFHTe5DAOdrLjpd9wOUB3_u9K3ZtgJhiQ6HJULcDH5kQu08cb2,15f821ee-75cd-49bf-b88c-04886f46e6fd,gpt-5.6-terra,200,12593,46,12639,12448,142,0,True
batch_6aa4fa5380848190bdad3cc0bcea9dbb_output.jsonl,1,batch_req_6aa4fa97711c8190b360cb7c7875a4e4,TWDY64XfFHTe5DAOdrLjpd9wOUB3_u9K3ZtgJhiQ6HJULcDH5kQu08cb2,74db347b-34c5-4ce8-8743-404f51237c6f,gpt-5.6-terra,200,12645,72,12717,12556,86,30,True
batch_6aa4facbb3d481909351b9e1437bc801_output.jsonl,1,batch_req_6aa4fad6b018819084d4460ce70280fb,TWDY64XfFHTe5DAOdrLjpd9wOUB3_u9K3ZtgJhiQ6HJULcDH5kQu08cb2,8c53067d-222c-41b6-8548-03f1881bf40e,gpt-5.6-terra,200,12679,56,12735,12506,170,25,True
batch_6aa4fb42d71c81908da8b2a265abd6c9_output.jsonl,1,batch_req_6aa4fb878dec8190a6d5c56bd572b8ae,TWDY64XfFHTe5DAOdrLjpd9wOUB3_u9K3ZtgJhiQ6HJULcDH5kQu08cb2,76aeeb57-13af-4810-9245-a12378e92661,gpt-5.6-terra,200,12710,171,12881,12412,295,139,True
batch_6aa4fbba927481909f26e9a22fd224c8_output.jsonl,1,batch_req_6aa4fbd7044881908ab101112135952a,TWDY64XfFHTe5DAOdrLjpd9wOUB3_u9K3ZtgJhiQ6HJULcDH5kQu08cb2,d11efea5-ea37-4a87-87ec-4e90f4a6f307,gpt-5.6-terra,200,12734,87,12821,12676,55,52,True
batch_6aa4fc32da8081909ff2d98f1e17b76c_output.jsonl,1,batch_req_6aa4fc3c99dc8190a619b3520bc9e604,TWDY64XfFHTe5DAOdrLjpd9wOUB3_u9K3ZtgJhiQ6HJULcDH5kQu08cb2,bbfa00e0-6087-4399-846c-fcf290f49146,gpt-5.6-terra,200,12769,172,12941,12642,124,141,True
batch_6aa4fcaacffc819082956d7ea47c3ce4_output.jsonl,1,batch_req_6aa4fceeab688190a27420da42f60ff1,TWDY64XfFHTe5DAOdrLjpd9wOUB3_u9K3ZtgJhiQ6HJULcDH5kQu08cb2,1bed056f-df16-40bd-870f-e9c05bbb2c66,gpt-5.6-terra,200,12792,40,12832,12590,199,0,True
batch_6aa4fd23509c819096badd6a614106ac_output.jsonl,1,batch_req_6aa4fd2c115081908e9c5d5e6c7d51eb,TWDY64XfFHTe5DAOdrLjpd9wOUB3_u9K3ZtgJhiQ6HJULcDH5kQu08cb2,1a35f677-1b35-408e-a79b-a53d99a24236,gpt-5.6-terra,200,12838,200,13038,12766,69,167,True
batch_6aa4fd9aa94c81908f1b14d0a63c4854_output.jsonl,1,batch_req_6aa4fda2c19881908371ca9acf5e7f81,TWDY64XfFHTe5DAOdrLjpd9wOUB3_u9K3ZtgJhiQ6HJULcDH5kQu08cb2,eaaa2d69-14b2-457d-89f8-78a69ef2ea21,gpt-5.6-terra,200,12863,93,12956,12789,71,56,True
batch_6aa4fe12b9ac81909b19d7dd6cdc2eba_output.jsonl,1,batch_req_6aa4fe552ae88190a7106eb9ea70821e,TWDY64XfFHTe5DAOdrLjpd9wOUB3_u9K3ZtgJhiQ6HJULcDH5kQu08cb2,aa5c3044-61a8-4417-9dea-02b3505b9206,gpt-5.6-terra,200,12900,27,12927,12835,62,0,True
batch_6aa4fe8ae6a08190bd7f5054780886cd_output.jsonl,1,batch_req_6aa4fea00aa88190b6fb05e77a10784a,TWDY64XfFHTe5DAOdrLjpd9wOUB3_u9K3ZtgJhiQ6HJULcDH5kQu08cb2,106b6871-6bdf-4fe9-b10e-ff548aeb843a,gpt-5.6-terra,200,12996,102,13098,0,12993,60,True
